match,rival,date,season_order,player,jersey,position,shot_type,situation,body_part,xg,xgot,minute,added,goal_mouth,pitch_x,pitch_y,era
Neftchi - Karvan (27.09),Karvan,27.09,927,J. Rezabala,23,M,save,throw-in-set-piece,head,0.1934,0.4259,71,0,high-centre,29.24,2.625,before
Neftchi - Karvan (27.09),Karvan,27.09,927,S. D'almeida,6,M,save,corner,right-foot,0.04323,0.1097,44,0,low-centre,34.68,6.825,before
Neftchi - Karvan (27.09),Karvan,27.09,927,E. Makhmudov,8,M,miss,regular,right-foot,0.01898,,59,0,close-high,17.68,12.6,before
Neftchi - Karvan (27.09),Karvan,27.09,927,F. Vargas,10,M,save,regular,right-foot,0.005831,0.146,36,0,low-right,32.64,11.55,before
Neftchi - Karvan (27.09),Karvan,27.09,927,I. Faraj,11,M,save,regular,right-foot,0.03128,0.05414,36,0,low-right,46.92,3.675,before
Zira - Neftchi (03.10),Zira,03.10,1003,F. Vargas,10,M,save,regular,right-foot,0.1305,0.05637,7,0,low-centre,25.84,8.4,before
Zira - Neftchi (03.10),Zira,03.10,1003,J. Rezabala,23,M,block,corner,left-foot,0.1138,,90,13,low-centre,28.56,6.825,before
Zira - Neftchi (03.10),Zira,03.10,1003,J. Rezabala,23,M,save,free-kick,left-foot,0.1492,0.1541,90,13,high-left,23.12,11.55,before
Zira - Neftchi (03.10),Zira,03.10,1003,F. Vargas,10,M,goal,regular,right-foot,0.3074,0.773,66,0,low-right,30.6,4.2,before
Zira - Neftchi (03.10),Zira,03.10,1003,B. Sambou,9,F,goal,regular,right-foot,0.2334,0.5041,87,0,low-left,26.52,5.25,before
Zira - Neftchi (03.10),Zira,03.10,1003,E. Badalov,15,D,miss,corner,head,0.05526,,20,0,close-high-right,26.52,7.35,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,save,corner,right-foot,0.2187,0.2568,16,0,low-centre,34.68,6.3,before
Neftchi - Araz (19.10),Araz,19.10,1019,F. Vargas,10,M,save,corner,head,0.06923,0.02446,18,0,low-centre,26.52,7.35,before
Neftchi - Araz (19.10),Araz,19.10,1019,L. Ortiz,15,M,miss,regular,left-foot,0.1319,,79,0,close-right,26.52,9.975,before
Neftchi - Araz (19.10),Araz,19.10,1019,E. Makhmudov,8,M,goal,regular,head,0.3016,0.7944,56,0,low-right,27.2,5.25,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,miss,regular,head,0.1051,,3,0,close-high-left,25.84,5.25,before
Neftchi - Araz (19.10),Araz,19.10,1019,J. Rezabala,23,M,save,regular,left-foot,0.06891,0.1559,11,0,low-right,45.56,10.5,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,miss,regular,head,0.101,,28,0,close-high,32.64,5.775,before
Neftchi - Araz (19.10),Araz,19.10,1019,Igor,4,D,block,set-piece,right-foot,0.01169,,90,9,low-centre,24.48,7.35,before
Neftchi - Araz (19.10),Araz,19.10,1019,L. Ortiz,15,M,post,regular,left-foot,0.0494,,83,0,right,22.44,2.625,before
Neftchi - Araz (19.10),Araz,19.10,1019,I. Faraj,11,M,block,regular,right-foot,0.1799,,83,0,low-centre,48.28,5.775,before
Neftchi - Araz (19.10),Araz,19.10,1019,S. D'almeida,6,M,miss,regular,right-foot,0.03167,,56,0,close-left,26.52,12.6,before
Neftchi - Araz (19.10),Araz,19.10,1019,M. Seck,24,D,miss,regular,left-foot,0.01282,,53,0,close-right,22.44,11.025,before
Neftchi - Araz (19.10),Araz,19.10,1019,S. D'almeida,6,M,miss,regular,right-foot,0.04295,,24,0,close-left,23.12,12.6,before
Neftchi - Araz (19.10),Araz,19.10,1019,B. Sambou,9,F,goal,regular,left-foot,0.344,0.8205,19,0,low-left,34.68,4.725,before
Gabala - Neftchi (26.10),Gabala,26.10,1026,E. Makhmudov,8,M,miss,throw-in-set-piece,right-foot,0.03848,,58,0,close-high,41.48,6.825,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,A. Curci,28,M,miss,regular,left-foot,0.3628,,84,0,close-right,26.52,7.875,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,V. Aboubakar,45,F,goal,regular,right-foot,0.4206,0.5773,81,0,low-centre,34.0,4.2,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,M. Ifeanyi,18,M,goal,regular,right-foot,0.1068,0.4441,71,0,low-left,41.48,8.925,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,B. Sambou,9,F,miss,regular,head,0.2962,,3,0,close-high-right,37.4,3.675,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,B. Sambou,9,F,miss,corner,head,0.3246,,62,0,close-left,33.32,1.575,with
Gabala - Neftchi (26.10),Gabala,26.10,1026,I. Faraj,11,M,block,regular,left-foot,0.05476,,56,0,low-centre,48.28,5.775,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,M. Mammadov,47,F,save,regular,left-foot,0.03697,0.01065,83,0,low-centre,50.32,7.35,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,J. Rezabala,23,M,block,regular,left-foot,0.02759,,60,0,low-centre,46.24,6.825,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,E. Makhmudov,8,M,miss,free-kick,right-foot,0.0003483,,50,0,close-high-left,19.04,12.6,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,save,corner,head,0.1455,0.587,45,2,high-left,31.96,4.725,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,B. Sambou,9,F,goal,regular,right-foot,0.1998,0.5105,74,0,low-left,29.24,6.825,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,B. Sambou,9,F,goal,regular,right-foot,0.1805,0.6717,86,0,low-left,42.84,5.25,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,F. Vargas,10,M,goal,regular,left-foot,0.3705,0.3882,90,1,low-centre,36.72,5.775,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,B. Sambou,9,F,save,regular,head,0.06726,0.1801,73,0,high-centre,38.76,4.2,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,I. Faraj,11,M,save,regular,right-foot,0.1628,0.153,64,0,high-centre,33.32,9.45,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,block,regular,right-foot,0.3384,,10,0,low-centre,27.88,5.775,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,block,regular,right-foot,0.1381,,32,0,low-centre,36.72,7.35,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,miss,regular,head,0.1076,,27,0,close-high-right,41.48,4.725,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,goal,corner,right-foot,0.7458,0.9024,23,0,low-right,36.04,2.1,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,M. Ifeanyi,18,M,miss,regular,left-foot,0.1732,,10,0,close-high-left,29.92,10.5,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,E. Makhmudov,8,M,goal,penalty,right-foot,0.76,0.81,19,0,low-left,34.0,5.25,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,save,corner,right-foot,0.3403,0.3308,23,0,high-centre,33.32,3.675,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,V. Aboubakar,45,F,miss,corner,left-foot,0.2354,,33,0,close-high,30.6,5.25,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,F. Vargas,10,M,block,regular,right-foot,0.01668,,45,2,low-centre,34.68,7.35,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,F. Vargas,10,M,block,regular,right-foot,0.1929,,10,0,low-centre,36.72,6.3,with
Neftchi - Kapaz (01.11),Kapaz,01.11,1101,J. Rezabala,23,M,miss,corner,left-foot,0.001077,,45,4,close-high-left,45.56,12.075,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,S. D'almeida,6,M,save,set-piece,right-foot,0.1585,0.1678,76,0,low-centre,28.56,6.3,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,F. Vargas,10,M,save,regular,right-foot,0.08606,0.4471,68,0,low-left,38.76,9.975,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,V. Aboubakar,45,F,miss,set-piece,right-foot,0.01783,,45,1,close-high,25.16,6.3,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,M. Ifeanyi,18,M,miss,regular,right-foot,0.1241,,41,0,close-high-right,32.64,9.45,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,F. Vargas,10,M,save,regular,left-foot,0.1538,0.3979,86,0,low-right,36.72,9.45,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,F. Vargas,10,M,miss,regular,right-foot,0.0009038,,28,0,close-high-right,25.16,13.65,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,S. D'almeida,6,M,miss,corner,right-foot,0.008789,,13,0,close-high-right,31.96,9.975,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,E. Badalov,15,D,save,corner,head,0.07034,0.05176,23,0,low-centre,27.88,4.2,with
Qarabag - Neftchi (09.11),Qarabag,09.11,1109,V. Aboubakar,45,F,miss,regular,right-foot,0.05399,,25,0,close-right,45.56,1.05,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,L. Ortiz,15,M,save,regular,left-foot,0.09954,0.0657,79,0,high-centre,24.48,5.775,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,L. Ortiz,15,M,miss,regular,left-foot,0.02351,,75,0,close-right,18.36,12.6,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,I. Faraj,11,M,save,regular,right-foot,0.02041,0.04393,51,0,low-left,15.64,13.65,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,E. Makhmudov,8,M,miss,regular,left-foot,0.4519,,45,1,close-right,28.56,3.15,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,J. Rezabala,23,M,miss,regular,left-foot,0.05043,,4,0,close-right,39.44,13.125,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,V. Aboubakar,45,F,goal,penalty,right-foot,0.76,0.81,11,0,low-right,34.0,5.25,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,I. Faraj,11,M,save,regular,head,0.1289,0.09913,34,0,high-centre,26.52,4.2,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,M. Ifeanyi,18,M,miss,corner,head,0.2424,,25,0,close-high-right,36.72,2.1,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,V. Aboubakar,45,F,save,throw-in-set-piece,left-foot,0.1834,0.5858,44,0,low-left,31.96,4.725,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,Igor,4,D,block,set-piece,right-foot,0.2364,,43,0,low-centre,31.28,5.25,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,E. Makhmudov,8,M,goal,corner,right-foot,0.05892,0.239,60,0,low-left,24.48,2.1,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,V. Aboubakar,45,F,block,regular,right-foot,0.1548,,71,0,low-centre,42.16,5.775,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,E. Makhmudov,8,M,save,free-kick,right-foot,0.04608,0.08655,56,0,low-left,21.76,14.7,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,M. Ifeanyi,18,M,save,regular,left-foot,0.2635,0.3301,53,0,low-centre,28.56,6.3,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,F. Vargas,10,M,miss,regular,right-foot,0.004792,,16,0,close-high-right,38.08,15.225,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,I. Faraj,11,M,miss,regular,left-foot,0.1199,,21,0,close-high-left,21.76,3.15,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,V. Aboubakar,45,F,miss,regular,right-foot,0.1539,,38,0,close-right,44.88,4.725,with
Neftchi - Imisli (23.11),Imisli,23.11,1123,I. Faraj,11,M,miss,regular,right-foot,0.101,,35,0,close-right,21.08,5.775,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,V. Aboubakar,45,F,save,corner,head,0.1971,0.3813,42,0,low-centre,38.76,3.15,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,V. Aboubakar,45,F,block,throw-in-set-piece,right-foot,0.004033,,57,0,low-centre,38.76,7.35,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,S. D'almeida,6,M,miss,throw-in-set-piece,right-foot,0.06948,,57,0,close-left,34.0,11.55,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,S. D'almeida,6,M,block,set-piece,right-foot,0.001696,,40,0,low-centre,29.92,16.8,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,M. Mammadov,47,F,block,regular,left-foot,0.006835,,90,3,low-centre,48.96,11.55,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,I. Faraj,11,M,block,regular,right-foot,0.03646,,40,0,low-centre,49.64,7.35,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,C. Costin,27,D,block,regular,right-foot,0.004978,,90,2,low-centre,38.76,14.7,with
Turan_Tovuz - Neftchi (28.11),Turan_Tovuz,28.11,1128,M. Seck,24,D,save,free-kick,left-foot,0.1064,0.1934,62,0,high-right,55.08,9.975,with
Sabah - Neftchi (08.12),Sabah,08.12,1208,I. Faraj,11,M,save,regular,right-foot,0.05199,0.02141,40,0,high-centre,19.72,7.875,with
Sabah - Neftchi (08.12),Sabah,08.12,1208,V. Aboubakar,45,F,save,throw-in-set-piece,right-foot,0.1875,0.5176,29,0,high-right,39.44,2.625,with
Sabah - Neftchi (08.12),Sabah,08.12,1208,M. Məmmədov,—,M,save,regular,left-foot,0.01345,0.00284,9,0,low-centre,52.36,11.55,with
Sabah - Neftchi (08.12),Sabah,08.12,1208,M. Seck,24,D,miss,regular,left-foot,0.001819,,8,0,close-high-right,15.64,14.7,with
Sabah - Neftchi (08.12),Sabah,08.12,1208,B. Sambou,9,F,save,regular,right-foot,0.05738,0.06056,66,0,high-centre,23.12,11.025,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,F. Vargas,10,M,block,corner,right-foot,0.03364,,10,0,low-centre,28.56,5.775,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,C. Costin,27,D,save,regular,right-foot,0.02499,0.01542,67,0,low-right,51.0,3.675,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,I. Faraj,11,M,block,regular,right-foot,0.1495,,61,0,low-centre,36.04,5.775,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,I. Faraj,11,M,save,regular,right-foot,0.148,0.1213,22,0,low-centre,23.8,6.3,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,I. Faraj,11,M,miss,regular,right-foot,0.1031,,21,0,close-high,21.76,5.775,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,I. Faraj,11,M,goal,regular,right-foot,0.5618,,34,0,low-centre,29.24,3.675,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,B. Sambou,9,F,miss,set-piece,head,0.1683,,32,0,close-high,36.04,4.2,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,I. Faraj,11,M,miss,regular,left-foot,0.04883,,45,0,close-high-left,17.68,3.675,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,B. Sambou,9,F,miss,regular,head,0.185,,43,0,close-right,34.68,3.675,with
Neftchi - Sumqayit (15.12),Sumqayit,15.12,1215,B. Sambou,9,F,goal,regular,right-foot,0.2322,,49,0,low-left,43.52,4.725,with
Karvan - Neftchi (20.12),Karvan,20.12,1220,B. Sambou,9,F,save,throw-in-set-piece,right-foot,0.3948,0.3724,53,0,low-centre,29.24,6.3,with
Karvan - Neftchi (20.12),Karvan,20.12,1220,M. Seck,24,D,post,regular,left-foot,0.08527,,37,0,high,23.12,11.55,with
Karvan - Neftchi (20.12),Karvan,20.12,1220,C. Costin,27,D,block,regular,right-foot,0.0135,,37,0,low-centre,40.12,12.075,with
